Day,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
1,05:48 AM,06:56 AM,12:41 PM,03:57 PM,06:26 PM,07:34 PM
2,05:47 AM,06:55 AM,12:41 PM,03:58 PM,06:27 PM,07:35 PM
3,05:46 AM,06:54 AM,12:41 PM,03:58 PM,06:27 PM,07:36 PM
4,05:45 AM,06:52 AM,12:41 PM,03:59 PM,06:28 PM,07:37 PM
5,05:43 AM,06:51 AM,12:40 PM,03:59 PM,06:29 PM,07:37 PM
6,05:42 AM,06:50 AM,12:40 PM,03:59 PM,06:30 PM,07:38 PM
7,05:41 AM,06:49 AM,12:40 PM,04:00 PM,06:31 PM,07:39 PM
8,05:40 AM,06:47 AM,12:40 PM,04:00 PM,06:31 PM,07:40 PM
9,05:38 AM,06:46 AM,12:39 PM,04:01 PM,06:32 PM,07:40 PM
10,05:37 AM,06:45 AM,12:39 PM,04:01 PM,06:33 PM,07:41 PM
11,05:36 AM,06:43 AM,12:39 PM,04:01 PM,06:34 PM,07:42 PM
12,05:34 AM,06:42 AM,12:39 PM,04:02 PM,06:34 PM,07:43 PM
13,06:34 AM,07:42 AM,01:39 PM,05:02 PM,07:34 PM,08:43 PM
14,06:33 AM,07:41 AM,01:38 PM,05:02 PM,07:35 PM,08:44 PM
15,06:32 AM,07:40 AM,01:38 PM,05:02 PM,07:36 PM,08:44 PM
16,06:30 AM,07:38 AM,01:38 PM,05:02 PM,07:37 PM,08:45 PM
17,06:29 AM,07:37 AM,01:37 PM,05:03 PM,07:38 PM,08:46 PM
18,06:28 AM,07:36 AM,01:37 PM,05:03 PM,07:38 PM,08:47 PM
19,06:26 AM,07:34 AM,01:37 PM,05:03 PM,07:39 PM,08:48 PM
20,06:25 AM,07:33 AM,01:37 PM,05:04 PM,07:40 PM,08:48 PM
21,06:23 AM,07:32 AM,01:36 PM,05:04 PM,07:41 PM,08:49 PM
22,06:22 AM,07:30 AM,01:36 PM,05:04 PM,07:41 PM,08:50 PM
23,06:21 AM,07:29 AM,01:36 PM,05:04 PM,07:42 PM,08:51 PM
24,06:19 AM,07:28 AM,01:35 PM,05:04 PM,07:43 PM,08:52 PM
25,06:18 AM,07:26 AM,01:35 PM,05:05 PM,07:44 PM,08:52 PM
26,06:16 AM,07:25 AM,01:35 PM,05:05 PM,07:44 PM,08:53 PM
27,06:15 AM,07:23 AM,01:34 PM,05:05 PM,07:45 PM,08:54 PM
28,06:13 AM,07:22 AM,01:34 PM,05:05 PM,07:46 PM,08:55 PM
29,06:12 AM,07:21 AM,01:34 PM,05:05 PM,07:47 PM,08:56 PM
30,06:11 AM,07:19 AM,01:34 PM,05:06 PM,07:47 PM,08:57 PM
31,06:09 AM,07:18 AM,01:33 PM,05:06 PM,07:48 PM,08:57 PM
